Id,Country,Location Name,Mag,Deaths,Death Description,Total Deaths,Total Death Description
5549.0,INDONESIA,"INDONESIA:  PANDEGLANG, W JAWA, SE SUMATERA",6.5,5.0,1.0,5.0,1.0
5563.0,INDONESIA,INDONESIA:  SOUTHERN SUMATERA:  LAHAT,6.7,1.0,1.0,1.0,1.0
5644.0,INDONESIA,INDONESIA:   SULAWESI:  TOJO,6.2,48.0,1.0,48.0,1.0
5656.0,INDONESIA,"INDONESIA: NEW GUINEA: MANOKWARI, ORANSBARI, RANSIKI",7.6,8.0,1.0,8.0,1.0
5662.0,INDONESIA,INDONESIA:  SUMATERA:  SIMEULUE,7.3,3.0,1.0,3.0,1.0
5702.0,INDONESIA,INDONESIA:  FLORES:  REO,6.5,4.0,1.0,4.0,1.0
5696.0,INDONESIA,"INDONESIA:  MOROTAI, BEREBERE, DARUBA",7.0,1.0,1.0,1.0,1.0
5752.0,INDONESIA,"INDONESIA:  BALI, LOMBOK",5.8,1.0,1.0,1.0,1.0
5758.0,INDONESIA,INDONESIA:  NABIRE,7.0,37.0,1.0,37.0,1.0
5762.0,INDONESIA,INDONESIA:  SUMATRA:  PADANGPANJANG,5.1,5.0,1.0,5.0,1.0
5810.0,INDONESIA,INDONESIA:  KEPULAUAN ALOR,7.5,34.0,1.0,34.0,1.0
5817.0,INDONESIA,INDONESIA:  NABIRE,7.1,32.0,1.0,32.0,1.0
5839.0,INDONESIA,INDONESIA:  SULAWESI:  PALU,6.3,1.0,1.0,1.0,1.0
5844.0,INDONESIA,INDONESIA:  JAVA:  GARUT,4.8,1.0,1.0,1.0,1.0
7420.0,INDONESIA,INDONESIA:  SUMABAWA:  BIMA,6.3,1.0,1.0,1.0,1.0
7444.0,INDONESIA,"INDONESIA:  SUMATERA:  NORTHERN, MUARASIPONGI",5.8,7.0,1.0,7.0,1.0
7456.0,INDONESIA,INDONESIA:  MOLUCCA ISLANDS:  N,7.5,4.0,1.0,4.0,1.0
7574.0,INDONESIA,INDONESIA:  SUMATRA,8.4,25.0,1.0,25.0,1.0
7674.0,INDONESIA,INDONESIA:  SUMBAWA ISLAND,6.5,3.0,1.0,3.0,1.0
7750.0,INDONESIA,INDONESIA:  SUMATRA:  NIAS ISLAND:  GUNUNGSITOLI,6.1,1.0,1.0,1.0,1.0
7870.0,INDONESIA,INDONESIA:  SUMATERA:  ACEH PROVINCE,7.4,3.0,1.0,3.0,1.0
8185.0,INDONESIA,INDONESIA:  SUMATRA:  SOUTHERN,5.4,2.0,1.0,2.0,1.0
8191.0,INDONESIA,INDONESIA:  MINAHASSA PENINSULA,7.3,6.0,1.0,6.0,1.0
8204.0,INDONESIA,PAPUA NEW GUINEA:  NEAR NORTH COAST,7.6,5.0,1.0,5.0,1.0
8552.0,INDONESIA,INDONESIA:  SUMATRA:  SOUTHERN:  KERINCI,6.6,3.0,1.0,3.0,1.0
8451.0,INDONESIA,INDONESIA:  SUMABAWA:  BIMA,6.6,2.0,1.0,2.0,1.0
8992.0,INDONESIA,INDONESIA:  JAVA:  GARUT,5.1,1.0,1.0,1.0,1.0
9292.0,INDONESIA,INDONESIA: NEW GUINEA:  IRIAN JAYA: JAPEN,7.0,17.0,1.0,17.0,1.0
9840.0,INDONESIA,INDONESIA:  SUMATRA,6.7,10.0,1.0,10.0,1.0
9879.0,INDONESIA,INDONESIA:  N SUMATRA:  OFF WEST COAST,8.6,10.0,1.0,10.0,1.0
9951.0,INDONESIA,INDONESIA: BANDA ACEH,6.5,1.0,1.0,1.0,1.0
9938.0,INDONESIA,"INDONESIA:  SULAWESI:  SIGI, PARIGI MOUNTONG",6.3,6.0,1.0,6.0,1.0
9957.0,INDONESIA,INDONESIA:  SUMATERA:  N,6.1,1.0,1.0,1.0,1.0
10005.0,INDONESIA,INDONESIA:  BANDA ACEH,6.1,48.0,1.0,48.0,1.0
10050.0,INDONESIA,INDONESIA:  BANDA ACEH,5.4,1.0,1.0,1.0,1.0
10149.0,INDONESIA,INDONESIA:  PAPUA,7.0,1.0,1.0,1.0,1.0
10171.0,INDONESIA,"INDONESIA: MALUKU:  BURU, AMBALAU ISLAND",5.6,1.0,1.0,1.0,1.0
10365.0,INDONESIA,INDONESIA:  SUMATRA:  PESISIR SELATAN,6.6,1.0,1.0,1.0,1.0
10319.0,INDONESIA,INDONESIA:  MALUKU:  AMBON,6.1,1.0,1.0,1.0,1.0
10282.0,INDONESIA,INDONESIA: NORTH MALUKU: MOROTAI,5.8,1.0,1.0,1.0,1.0
10287.0,INDONESIA,INDONESIA:  JAVA,6.5,4.0,1.0,4.0,1.0
10299.0,INDONESIA,INDONESIA:  JAVA:  BANTEN,5.9,1.0,1.0,1.0,1.0
10327.0,INDONESIA,INDONESIA:  JAVA:  BANJARNEGARA,4.5,3.0,1.0,3.0,1.0
10348.0,INDONESIA,INDONESIA: SUMATRA: SOLOK,5.2,1.0,1.0,1.0,1.0
10349.0,INDONESIA,INDONESIA:  LOMBOK ISLAND,6.4,17.0,1.0,17.0,1.0
10352.0,INDONESIA,INDONESIA:  LOMBOK ISLAND,5.9,6.0,1.0,6.0,1.0
10354.0,INDONESIA,INDONESIA:  LOMBOK ISLAND,6.3,2.0,1.0,2.0,1.0
10355.0,INDONESIA,INDONESIA:  LOMBOK ISLAND,6.9,11.0,1.0,11.0,1.0
10584.0,INDONESIA,INDONESIA:  SULAWESI,6.1,1.0,1.0,1.0,1.0
10371.0,INDONESIA,"INDONESIA:  MADURA ISLAND, JAVA",6.0,4.0,1.0,4.0,1.0
10374.0,INDONESIA,INDONESIA:  SULAWESI:  MAMASA,5.5,7.0,1.0,7.0,1.0
10399.0,INDONESIA,INDONESIA:  LOMBOK ISLAND,5.6,6.0,1.0,6.0,1.0
10402.0,INDONESIA,INDONESIA:  SULAWESI ISLAND: LUWUK,6.8,1.0,1.0,1.0,1.0
10426.0,INDONESIA,INDONESIA:  MOLUCCA ISLANDS:  N,7.3,8.0,1.0,8.0,1.0
10431.0,INDONESIA,INDONESIA:  JAVA:  BANTEN,6.9,8.0,1.0,8.0,1.0
10448.0,INDONESIA,INDONESIA:  MALUKU:  AMBON,6.5,31.0,1.0,31.0,1.0
10452.0,INDONESIA,INDONESIA:  PASSO,5.0,1.0,1.0,1.0,1.0
10458.0,INDONESIA,INDONESIA:  MALUKU:  AMBON,5.0,2.0,1.0,2.0,1.0
10457.0,INDONESIA,INDONESIA:  MOLUCCA ISLANDS:  N,7.1,1.0,1.0,1.0,1.0
10539.0,INDONESIA,"INDONESIA: JAVA: LUMAJANG, MALANG",6.0,10.0,1.0,10.0,1.0
10567.0,INDONESIA,INDONESIA: CENTRAL SULAWESI: TOJO UNA-UNA,5.5,1.0,1.0,1.0,1.0
10585.0,INDONESIA,"INDONESIA:  BALI: KARANGASEM, BANGLI",5.1,3.0,1.0,3.0,1.0
10603.0,INDONESIA,"INDONESIA: W SUMATRA: PASAMAN, WEST PASAMAN",6.2,27.0,1.0,27.0,1.0
10648.0,INDONESIA,INDONESIA:  SUMATRA,5.9,1.0,1.0,1.0,1.0
10658.0,INDONESIA,INDONESIA:  BANDA SEA,7.6,1.0,1.0,1.0,1.0
10664.0,INDONESIA,INDONESIA: NEW GUINEA: IRIAN JAYA: JAYAPURA,5.1,4.0,1.0,4.0,1.0
10700.0,INDONESIA,INDONESIA: JAVA: YOGYAKARTA,5.8,1.0,1.0,1.0,1.0
3072.0,INDONESIA,INDONESIA:  BALI,6.6,1500.0,4.0,1500.0,4.0
3290.0,INDONESIA,INDONESIA:  SUMATERA,6.6,2751.25,4.0,28068.0,4.0
4729.0,INDONESIA,INDONESIA:  NEW GUINEA:  IRIAN JAYA,7.1,6000.0,4.0,6000.0,4.0
5343.0,INDONESIA,"INDONESIA:  FLORES REGION, MAUMERE, BABI",7.8,1000.0,4.0,2500.0,4.0
5823.0,INDONESIA,INDONESIA:  SUMATRA:  ACEH:  OFF WEST COAST,9.1,1001.0,4.0,227899.0,4.0
6657.0,INDONESIA,INDONESIA:  SUMATERA:  SW,8.6,1303.0,4.0,1319.0,4.0
7245.0,INDONESIA,"INDONESIA:   JAVA:  BANTUL, YOGYAKARTA",6.3,5749.0,4.0,5749.0,4.0
8409.0,INDONESIA,INDONESIA:  SUMATRA:  PADANG,7.5,1117.0,4.0,1117.0,4.0
10369.0,INDONESIA,INDONESIA:  SULAWESI,7.5,4340.0,4.0,4340.0,4.0
4334.0,INDONESIA,INDONESIA:  SANANA ISLAND,7.6,71.0,2.0,71.0,2.0
4394.0,INDONESIA,"INDONESIA:  JAVA:  DAMPIT,GONDANG,TRENGGALEK",6.8,54.0,2.0,54.0,2.0
4396.0,INDONESIA,INDONESIA:  MAKASSAR STRAIT,5.5,58.0,2.0,71.0,2.0
5422.0,INDONESIA,"INDONESIA:  SUMATERA, JAMBI PROVINCE",6.8,84.0,2.0,84.0,2.0
5557.0,INDONESIA,"INDONESIA:  SULAWESI:  LUWUK, BANGGAI, PELENG,",7.6,54.0,2.0,54.0,2.0
7481.0,INDONESIA,INDONESIA:  SUMATRA:  SOUTHERN,6.4,67.0,2.0,67.0,2.0
8386.0,INDONESIA,INDONESIA:  JAVA,7.0,81.0,2.0,81.0,2.0
2596.0,JAPAN,JAPAN:  OFF NORTHEAST COAST HONSHU,8.2,18.0,1.0,18.0,1.0
2717.0,JAPAN,JAPAN:  AKI,7.8,11.0,1.0,11.0,1.0
2886.0,JAPAN,JAPAN:  OOMI,6.9,41.0,1.0,41.0,1.0
2935.0,JAPAN,JAPAN:  RYUKYU ISLANDS,8.0,12.0,1.0,12.0,1.0
2994.0,JAPAN,JAPAN:  SAKURIJIMA,7.1,29.0,1.0,63.0,1.0
3480.0,JAPAN,JAPAN:  KYUSHU,7.5,1.0,1.0,1.0,1.0
3626.0,JAPAN,JAPAN:  NEAR E COAST HONSHU,7.7,1.0,1.0,1.0,1.0
3639.0,JAPAN,JAPAN:  HONSHU:  NW,7.0,27.0,1.0,27.0,1.0
3993.0,JAPAN,JAPAN:  HOKKAIDO,8.1,33.0,1.0,33.0,1.0
