Id,Country,Location Name,Missing,Missing Description,Total Missing,Total Missing Description
6294.0,INDONESIA,INDONESIA:  BANDA SEA,,,,
3290.0,INDONESIA,INDONESIA:  SUMATERA,,,,
7865.0,INDONESIA,INDONESIA:  SUMATRA,,,,
3297.0,INDONESIA,INDONESIA:  NEW GUINEA:  IRIAN JAYA,,,,
3300.0,INDONESIA,"INDONESIA:  JAVA:  PRUPUK,MARGARSARI,DUBUKTENGAH",,,,
3339.0,INDONESIA,INDONESIA:  SULAWESI:  DONGGALA,,,,
6085.0,INDONESIA,JAVA-S. JAVA SEA,,,,
6086.0,INDONESIA,S. JAVA SEA,,,,
6087.0,INDONESIA,INDONESIA:  AMURANG ISLAND,,,,
6320.0,INDONESIA,SW. SUMATRA,,,,
3487.0,INDONESIA,"INDONESIA:  SULAWESI:  KAKAS,LANGOWAN,POSO,TONDANO",,,,
6094.0,INDONESIA,"INDONESIA:  AMBON ISLAND, CERAM ISLAND",,,,
3521.0,INDONESIA,INDONESIA:  S SUMATERA,,,,
10466.0,INDONESIA,INDONESIA:  S SUMATERA,,,,
6106.0,INDONESIA,INDONESIA:  CELEBES SEA,,,,
3567.0,INDONESIA,"INDONESIA:  N SUMATERA:  BATU I,PADANG,SIBOLGA",,,,
3572.0,INDONESIA,INDONESIA:  TALAUD ISLANDS,,,,
3582.0,INDONESIA,"INDONESIA:  BANDA ACEH,LHOK SUKON,LHOKSEMAWE",,,,
3583.0,INDONESIA,"INDONESIA:  N SUMATERA:  TAPANULI, KARO",,,,
3600.0,INDONESIA,"INDONESIA:  JAVA:  JOGYAKARTA:  KLUMPIT,PRAMBANAN",,,,
6550.0,INDONESIA,INDONESIA:  NEW GUINEA:  FAKFAK,,,,
3609.0,INDONESIA,INDONESIA:  NEW GUINEA,,,,
6643.0,INDONESIA,INDONESIA:  NEW GUINEA:  FAKFAK,,,,
3619.0,INDONESIA,INDONESIA:  SULAWESI ISLAND,,,,
3651.0,INDONESIA,"INDONESIA:  CENTRTAL SULAWESI:  KALO,LUWUK,SULA I",,,,
3705.0,INDONESIA,INDONESIA:  MINAHASSA PENINSULA,,,,
3745.0,INDONESIA,INDONESIA:  S SUMATERA,,,,
3749.0,INDONESIA,INDONESIA:   JAVA:  JOGYAKARTA,,,,
3762.0,INDONESIA,INDONESIA:  NEW GUINEA:  IRIAN JAYA:  ARU ISLANDS,,,,
3777.0,INDONESIA,INDONESIA:  FLORES,,,,
3872.0,INDONESIA,INDONESIA:  SERAM,,,,
6629.0,INDONESIA,INDONESIA:  OFF NORTHWEST COAST,,,,
6359.0,INDONESIA,INDONESIA:  BANDA ACEH,,,,
3943.0,INDONESIA,INDONESIA:  JAVA:  GRESIK,,,,
3955.0,INDONESIA,INDONESIA:  SERAM,,,,
3956.0,INDONESIA,INDONESIA:  BANDA SEA,,,,
4059.0,INDONESIA,"INDONESIA:  SUMABAWA:  BIMA,RABA",,,,
4102.0,INDONESIA,INDONESIA:  BANDA SEA,,,,
4121.0,INDONESIA,INDONESIA:  JAVA SEA,,,,
4132.0,INDONESIA,INDONESIA:  NEW GUINEA:  IRIAN JAYA,,,,
6377.0,INDONESIA,S. JAVA SEA,,,,
6378.0,INDONESIA,INDONESIA:  KALIMANTAN ISLAND,,,,
6324.0,INDONESIA,INDONESIA:  SUMATRA:  BENGKULU,,,,
4178.0,INDONESIA,INDONESIA:  JAVA:  MALANG,,,,
4221.0,INDONESIA,INDONESIA:  CENTRAL SULAWESI:  UNA-UNA ISLAND,,,,
4240.0,INDONESIA,INDONESIA:  FLORES:  ENDEH,,,,
